timestamp,open,high,low,close,volume,barCount,wap
20230103 09:23:00 Hongkong,19609.0,19609.0,19609.0,19609.0,1,1,19609
20230103 09:24:00 Hongkong,19609.0,19609.0,19609.0,19609.0,0,0,19609
20230103 09:25:00 Hongkong,19609.0,19609.0,19609.0,19609.0,0,0,19609
20230103 09:26:00 Hongkong,19552.0,19552.0,19552.0,19552.0,1,1,19552
20230103 09:27:00 Hongkong,19552.0,19552.0,19552.0,19552.0,0,0,19552
20230103 09:28:00 Hongkong,19488.0,19488.0,19488.0,19488.0,9,1,19488
20230103 09:29:00 Hongkong,19458.0,19458.0,19454.0,19454.0,20,5,19455.2
20230103 09:30:00 Hongkong,19490.0,19490.0,19478.0,19478.0,20,6,19483.5
20230103 09:31:00 Hongkong,19529.0,19529.0,19510.0,19516.0,35,9,19517.1
20230103 09:32:00 Hongkong,19529.0,19529.0,19529.0,19529.0,1,1,19529
20230103 09:33:00 Hongkong,19529.0,19529.0,19529.0,19529.0,0,0,19529
20230103 09:34:00 Hongkong,19529.0,19529.0,19529.0,19529.0,0,0,19529
20230103 09:35:00 Hongkong,19515.0,19515.0,19489.0,19491.0,15,10,19503.9
20230103 09:36:00 Hongkong,19491.0,19491.0,19491.0,19491.0,0,0,19491
20230103 09:37:00 Hongkong,19491.0,19491.0,19491.0,19491.0,0,0,19491
20230103 09:38:00 Hongkong,19491.0,19491.0,19491.0,19491.0,0,0,19491
20230103 09:39:00 Hongkong,19417.0,19417.0,19417.0,19417.0,5,2,19417
20230103 09:40:00 Hongkong,19400.0,19400.0,19369.0,19369.0,3,2,19389.7
20230103 09:41:00 Hongkong,19369.0,19369.0,19369.0,19369.0,0,0,19369
20230103 09:42:00 Hongkong,19455.0,19455.0,19455.0,19455.0,1,1,19455
20230103 09:43:00 Hongkong,19473.0,19475.0,19473.0,19473.0,9,6,19474.6
20230103 09:44:00 Hongkong,19475.0,19475.0,19475.0,19475.0,5,3,19475
20230103 09:45:00 Hongkong,19491.0,19530.0,19491.0,19530.0,2,2,19510.5
20230103 09:46:00 Hongkong,19484.0,19484.0,19484.0,19484.0,5,4,19484
20230103 09:47:00 Hongkong,19484.0,19484.0,19484.0,19484.0,0,0,19484
20230103 09:48:00 Hongkong,19484.0,19484.0,19484.0,19484.0,0,0,19484
20230103 09:49:00 Hongkong,19484.0,19484.0,19484.0,19484.0,0,0,19484
20230103 09:50:00 Hongkong,19484.0,19484.0,19484.0,19484.0,0,0,19484
20230103 09:51:00 Hongkong,19438.0,19438.0,19438.0,19438.0,1,1,19438
